ticker,news_summery,published_at,url,pre_analysis_result.possible_pnl_ratio,pre_analysis_result.impact_weight,pre_analysis_result.position_movement,pre_analysis_result.impact_days_min,pre_analysis_result.impact_days_max,rag_analysis_result.possible_pnl_ratio,rag_analysis_result.impact_weight,rag_analysis_result.position_movement,rag_analysis_result.impact_days_min,rag_analysis_result.impact_days_max,pre_analysis_pnl_ratio,rag_pnl_ratio
AAPL,"Apple Inc. (NASDAQ:AAPL) is reportedly considering adding advertising to Maps, mirroring Alphabet Inc.",2025-02-17 03:34:06,https://biztoc.com/x/7f280acb7eb65230,-25.0,5,long,1,8,0.01,5,long,3,7,0.013662192993877251,0.013662192993877251
AAPL,"Apple Inc. (NASDAQ:AAPL) is reportedly considering adding advertising to Maps, mirroring Alphabet Inc.",2025-02-17 05:14:26,https://biztoc.com/x/25a8b6fa81d28e19,-4.511115411439783e-05,6,long,2,5,-0.023624845672096096,5,long,3,7,0.0011043850465242244,0.013662192993877251
AAPL,"Title: Home Banking Market to Reach $54.9 Billion, Globally, by 2033 at 13.1% CAGR: Allied Market Research

Content: Wilmington, Delaware, Feb. 17, 2025 (GLOBE NEWSWIRE) -- Allied Market Research published a report, titled, ""Home Banking Market by Service Type (Retail Banking Services and Business Banking Services)...",2025-02-17 06:43:00,https://www.globenewswire.com/news-release/2025/02/17/3027018/0/en/Home-Banking-Market-to-Reach-54-9-Billion-Globally-by-2033-at-13-1-CAGR-Allied-Market-Research.html,-12.32123456789234,4,short,3,7,-0.007,5,long,2,5,-0.013662192993877368,0.0011043850465242244
GOOGL,"Apple Inc. (NASDAQ:AAPL) is reportedly considering adding advertising to Maps, mirroring Alphabet Inc.",2025-02-17 03:34:06,https://biztoc.com/x/7f280acb7eb65230,-0.01,8,long,4,9,-0.011318494267983644,5,long,3,7,-0.03281279873518111,-0.03281279873518126
GOOGL,"Title: Top Cybersecurity Stocks Worth Watching – February 15th

Content: Alphabet, Palo Alto Networks, Dell Technologies, CrowdStrike, Motorola Solutions, Fortinet, and Emerson Electric are the seven Cybersecurity stocks to watch today, according to MarketBeat's stock scr...",2025-02-17 07:02:51,https://www.etfdailynews.com/2025/02/17/top-cybersecurity-stocks-worth-watching-february-15th/,-0.011318494267983644,6,long,3,7,-0.03642700647585341,8,long,2,5,-0.03281279873518111,-0.011318494267983644
GOOGL,"Oakworth Capital Inc. raised its position in Alphabet Inc. (NASDAQ:GOOGL - Free Report) by 4.9% during the fourth quarter, according to its most recent filing with the Securities and Exchange Commission.",2025-02-17 08:13:00,https://www.etfdailynews.com/2025/02/17/oakworth-capital-inc-grows-position-in-alphabet-inc-nasdaqgoogl/,-0.011318494267983644,8,long,1,1,-0.035,5,long,2,6,0.0039723726173562755,0.0
AMZN,"Title: Level Financial Advisors Purchases 688 Shares of Amazon.com, Inc. (NASDAQ:AMZN)

Content: Level Financial Advisors raised its stake in Amazon.com, Inc. (NASDAQ:AMZN) by 23.6% during the fourth quarter, Holdings Channel.com reports. The institutional investor owned 3,607 shares of the e-co...",2025-02-17 08:07:53,https://www.etfdailynews.com/2025/02/17/level-financial-advisors-purchases-688-shares-of-amazon-com-inc-nasdaqamzn/,-0.03648734760465145,5,long,3,7,0.03851715016803968,5,long,3,5,-0.06128391689254689,-0.06128391689254689
AMZN,"Title: tru Independence LLC Has $752,000 Holdings in Amazon.com, Inc. (NASDAQ:AMZN)

Content: tru Independence LLC reduced its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 6.0% during the 4th quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The ...",2025-02-17 08:07:59,https://www.etfdailynews.com/2025/02/17/tru-independence-llc-has-752000-holdings-in-amazon-com-inc-nasdaqamzn/,-0.007471787194965078,3,long,2,5,0.0,6,long,3,5,-0.03560559250623433,-0.061283916892546884
AMZN,"Title: S. R. Schill & Associates Sells 2,900 Shares of Amazon.com, Inc. (NASDAQ:AMZN)

Content: S. R. Schill &amp; Associates reduced its position in Amazon.com, Inc. (NASDAQ:AMZN) by 73.5% during the fourth quarter, HoldingsChannel reports. The firm owned 1,047 shares of the e-commerce giant's...",2025-02-17 08:07:59,https://www.etfdailynews.com/2025/02/17/s-r-schill-associates-sells-2900-shares-of-amazon-com-inc-nasdaqamzn/,-0.0,6,short,3,5,-0.05,5,long,3,7,0.061283916892546884,-0.06128391689254689
MSFT,"SAP appoints Simon Davies as Regional President, Asia Pacific",2025-02-17 07:49:15,https://www.thehindubusinessline.com/info-tech/sap-appoints-simon-davies-as-regional-president-asia-pacific/article69229123.ece,-2.5,5,long,1,1,0.05,8,long,4,9,0.020121807087427956,0.0
MSFT,Bank of New Hampshire Decreases Stock Holdings in Microsoft Co. (NASDAQ:MSFT),2025-02-17 08:04:44,https://www.etfdailynews.com/2025/02/17/bank-of-new-hampshire-decreases-stock-holdings-in-microsoft-co-nasdaqmsft/,-0.04091210626327454,5,long,2,5,-0.0355,8,long,3,7,0.003537505676500412,-0.014587827113197102
MSFT,Bank of New Hampshire Decreases Stock Holdings in Microsoft Co. (NASDAQ:MSFT),2025-02-17 08:04:45,https://www.etfdailynews.com/2025/02/17/shankervalleau-wealth-advisors-inc-has-741000-stock-position-in-microsoft-co-nasdaqmsft/,10.0,5,long,1,1,-0.035346,4,long,3,7,0.020121807087427956,0.0
META,"Title: Aubrey Capital Management Ltd Has $4.51 Million Stake in Meta Platforms, Inc. (NASDAQ:META)

Content: Aubrey Capital Management Ltd trimmed its stake in shares of Meta Platforms, Inc. (NASDAQ:META - Free Report) by 1.3% during the fourth quarter, Holdings Channel.com reports. The firm owned 7,700 sha...",2025-02-17 09:49:27,https://www.etfdailynews.com/2025/02/17/aubrey-capital-management-ltd-has-4-51-million-stake-in-meta-platforms-inc-nasdaqmeta/,-0.025887165617818196,5,long,2,4,0.02,6,long,3,7,-0.024875342035097343,-0.053226679338667454
META,Pro-Russia collective NoName057(16) launched a new wave of DDoS attacks on Italian sites,2025-02-17 10:14:18,https://securityaffairs.com/174294/hacktivism/noname05716-launched-ddos-attacks-on-italian-sites.html,-0.01,5,long,3,6,-0.003202738119894728,1,long,3,7,-0.053226679338667454,-0.053226679338667454
TSLA,"Tesla Inc., the EV manufacturer focusing on renewable energy, has commenced hiring in India. The brand has posted 13 openings on LinkedIn for various roles, including back-end jobs and customer-facin...",2025-02-18 05:37:28,https://www.ndtv.com/auto/tesla-setting-up-shop-in-india-begins-hiring-after-modi-musk-meet-7736026,-0.01,8,long,3,6,-0.0447883030912461,5,long,2,5,-0.0761910482686395,-0.0447883030912461
TSLA,"Tesla Inc., the EV manufacturer focusing on renewable energy, has commenced hiring in India.",2025-02-18 05:40:10,https://economictimes.indiatimes.com/news/economy/foreign-trade/teslas-sudden-india-hiring-plans-come-amid-trumps-trade-talks-tariff-threats-electric-cars-reciprocal-tariffs-ev-tax/articleshow/118347529.cms,-0.023,8,long,1,1,-0.03,6,long,1,5,0.021208127633478107,-0.0447883030912461
TSLA,"Title: Zacks Research Has Bearish Estimate for Tesla Q1 Earnings
Content: Tesla, Inc. (NASDAQ:TSLA - Free Report) - Equities research analysts at Zacks Research reduced their Q1 2025 earnings per share estimates for shares of Tesla in a research report issued on Wednesday,...",2025-02-18 06:35:08,https://www.etfdailynews.com/2025/02/18/zacks-research-has-bearish-estimate-for-tesla-q1-earnings/,-50.0,7,long,1,1,-0.05,5,long,1,1,0.021208127633478107,0.021208127633478107
NVDA,"Title: Rodgers & Associates LTD Sells 282 Shares of NVIDIA Co. (NASDAQ:NVDA)

Content: Rodgers &amp; Associates LTD reduced its holdings in NVIDIA Co. (NASDAQ:NVDA - Free Report) by 2.4% during the fourth quarter, according to the company in its most recent 13F filing with the SEC. The...",2025-02-17 08:40:52,https://www.etfdailynews.com/2025/02/17/rodgers-associates-ltd-sells-282-shares-of-nvidia-co-nasdaqnvda/,-0.04587656562144567,5,long,3,6,-0.0038020085812433377,6,long,3,5,-0.06836440485616684,-0.06836440485616684
NVDA,"Gradient Investments LLC increased its position in shares of NVIDIA Co. (NASDAQ:NVDA - Free Report) by 8.5% during the fourth quarter, Holdings Channel.com reports.",2025-02-17 08:40:52,https://www.etfdailynews.com/2025/02/17/gradient-investments-llc-has-87-64-million-stake-in-nvidia-co-nasdaqnvda/,-0.00900110285541143,7,long,2,6,0.0,5,long,3,6,-0.06836440485616685,-0.06836440485616684
NVDA,"Impact Partnership Wealth LLC grew its holdings in shares of NVIDIA Co. (NASDAQ:NVDA - Free Report) by 51.5% during the fourth quarter, HoldingsChannel.com reports. The firm owned 28,305 shares of th...",2025-02-17 08:40:52,https://www.etfdailynews.com/2025/02/17/impact-partnership-wealth-llc-has-3-80-million-holdings-in-nvidia-co-nasdaqnvda/,-0.025887165617818196,7,long,1,1,0.01552383841144678,7,long,3,6,0.003730336539889977,0.0
NFLX,"Analyst Stays Bullish On Netflix, Sets $1,200 Price Target: Formula 1 Racing, Video Podcasting To Expand Total Addressable Market",2025-02-17 08:57:37,https://biztoc.com/x/dd88de455f06aa30,0.0,8,long,3,7,-0.03,8,long,3,9,-0.04419561748889287,-0.04419561748889287
NFLX,"Analysis of the news article is required to determine the impact on the stock price. NEWS: Title: The Magistrate Approves the Application Content: Welcome to the latest in our series of nightly audio adventures, Tales for Our Time: This month’s pick is a far-sighted novel by Robert Hugh Benson - Lord of the World.
Thank you for your kind words...",2025-02-17 14:00:00,https://www.steynonline.com/15045/the-magistrate-approves-the-application,12.51,5,long,1,1,-0.01,5,long,3,7,0.006583913162912167,0.0
NFLX,"Analysis of the news article is required to determine the impact on the stock price.

NEWS: Title: History of Saban: Part 1
Content: Introduction
Magazine advertisement for Saban properties.
Source: Variety Magazine circa 1990s
 © SCG Power Rangers LLC, © Toei, © ABC-Disney Domestic Television, © Tatsunoko Pro
Adapting Japanese...",2025-02-17 17:30:00,https://www.animenewsnetwork.com/feature/2025-02-17/history-of-saban-part-1/.220742,-15.0,5,long,3,7,-0.02,6,long,3,7,-0.04419561748889287,-0.04419561748889287
